run_id,timestamp_utc,git_commit,dataset,backend,variant,query_id,family,temperature,repetition,outcome,failure_reason,elapsed_ms,rows_returned,result_hash,plan_path,engine_version,python_version,threads,memory_limit_bytes,image_digest,kernel,cpu_model,ram_bytes
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_agn_02_mode_share,q_agn,warm,3,ok,,4.578,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/ducklake_aware_q_agn_02_mode_share_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,3,ok,,29.593,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/ducklake_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,4,ok,,31.829,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/ducklake_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_eq_02_ppr,q_eq,warm,4,ok,,32.483,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/ducklake_aware_q_eq_02_ppr_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_agn_01_care_trip_share_total,q_agn,warm,4,ok,,5.096,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/ducklake_aware_q_agn_01_care_trip_share_total_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_agn_02_mode_share,q_agn,warm,4,ok,,4.688,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/ducklake_aware_q_agn_02_mode_share_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_agn_02_mode_share,q_agn,warm,5,ok,,4.243,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/ducklake_aware_q_agn_02_mode_share_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_agn_01_care_trip_share_total,q_agn,warm,5,ok,,4.297,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/ducklake_aware_q_agn_01_care_trip_share_total_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,5,ok,,29.010,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/ducklake_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210529Z-ducklake-aware-warm,2026-08-08 21:05:29,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,ducklake,aware,q_eq_02_ppr,q_eq,warm,5,ok,,36.299,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/ducklake_aware_q_eq_02_ppr_warm_0.json,duckdb v1.5.4,3.13.13,4,7945689497,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_eq_01_care_trip_share_by_sex,q_eq,warm,,not_representable,q_eq requires the aware schema; blind has no sex join path by design,,,,,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_eq_02_ppr,q_eq,warm,,not_representable,q_eq requires the aware schema; blind has no sex join path by design,,,,,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_02_mode_share,q_agn,warm,1,ok,,451.845,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_blind_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_01_care_trip_share_total,q_agn,warm,1,ok,,389.578,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_blind_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_02_mode_share,q_agn,warm,2,ok,,483.509,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_blind_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_01_care_trip_share_total,q_agn,warm,2,ok,,394.120,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_blind_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_01_care_trip_share_total,q_agn,warm,3,ok,,400.020,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_blind_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_02_mode_share,q_agn,warm,3,ok,,448.396,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_blind_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_01_care_trip_share_total,q_agn,warm,4,ok,,392.883,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_blind_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_02_mode_share,q_agn,warm,4,ok,,440.053,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_blind_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_02_mode_share,q_agn,warm,5,ok,,462.163,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_blind_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210547Z-innodb-blind-warm,2026-08-08 21:05:47,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,blind,q_agn_01_care_trip_share_total,q_agn,warm,5,ok,,413.947,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_blind_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_01_care_trip_share_total,q_agn,warm,1,ok,,148.332,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_aware_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_02_ppr,q_eq,warm,1,ok,,514.796,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/innodb_aware_q_eq_02_ppr_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,1,ok,,618.216,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/innodb_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_02_mode_share,q_agn,warm,1,ok,,200.893,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_aware_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_01_care_trip_share_total,q_agn,warm,2,ok,,146.495,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_aware_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_02_mode_share,q_agn,warm,2,ok,,199.829,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_aware_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_02_ppr,q_eq,warm,2,ok,,531.498,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/innodb_aware_q_eq_02_ppr_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,2,ok,,616.460,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/innodb_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_01_care_trip_share_total,q_agn,warm,3,ok,,145.243,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_aware_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
